Date,Actual_Close,Predicted_Close,Error,Error_Pct,Actual_Direction,Predicted_Direction,Correct
2024-10-28,293.5,293.1476,0.35238647,0.120063536,UP,UP,True
2024-10-29,294.5,293.43933,1.060669,0.36015922,UP,DOWN,False
2024-10-30,293.0,294.74805,-1.7480469,-0.59660304,DOWN,UP,False
2024-11-05,291.0,294.06216,-3.0621643,-1.0522901,DOWN,UP,False
2024-11-06,289.7,292.38394,-2.6839294,-0.92645127,DOWN,UP,False
2024-11-10,305.0,291.0399,13.960114,4.5770864,UP,UP,True
2024-11-11,307.0,305.10074,1.8992615,0.6186519,UP,UP,True
2024-11-12,304.0,309.20294,-5.202942,-1.7114941,DOWN,UP,False
2024-11-13,302.0,306.53336,-4.5333557,-1.5011111,DOWN,UP,False
2024-11-14,301.5,303.84366,-2.3436584,-0.7773328,DOWN,UP,False
2024-11-17,303.0,302.81808,0.18191528,0.06003805,UP,UP,True
2024-11-19,296.3,305.4563,-9.156311,-3.0902164,DOWN,UP,False
2024-11-20,294.3,300.41455,-6.114563,-2.0776634,DOWN,UP,False
2024-11-21,288.5,297.42468,-8.924683,-3.0934775,DOWN,UP,False
2024-11-24,288.1,291.50595,-3.4059448,-1.1822093,DOWN,UP,False
2024-11-25,288.2,289.77768,-1.5776672,-0.5474209,UP,UP,True
2024-11-26,291.5,289.3763,2.1236877,0.72853786,UP,UP,True
2024-11-27,293.2,291.7268,1.4732056,0.5024575,UP,UP,True
2024-11-28,290.8,293.27457,-2.4745789,-0.8509556,DOWN,UP,False
2024-12-01,285.7,290.62115,-4.9211426,-1.7224859,DOWN,DOWN,True
2024-12-02,286.5,285.21893,1.2810669,0.44714376,UP,DOWN,False
2024-12-03,285.1,284.34882,0.7511902,0.26348305,DOWN,DOWN,True
2024-12-04,283.0,282.90967,0.09033203,0.031919446,DOWN,DOWN,True
2024-12-05,279.0,280.68695,-1.6869507,-0.6046418,DOWN,DOWN,True
2024-12-08,275.0,276.51013,-1.5101318,-0.54913884,DOWN,DOWN,True
2024-12-09,274.7,271.8954,2.8046265,1.020978,DOWN,DOWN,True
2024-12-10,273.0,270.80728,2.1927185,0.8031936,DOWN,DOWN,True
2024-12-11,278.0,269.03815,8.961853,3.2236881,UP,DOWN,False
2024-12-12,273.5,273.1209,0.37908936,0.13860671,DOWN,DOWN,True
2024-12-16,265.2,269.7494,-4.5493774,-1.7154515,DOWN,DOWN,True
2024-12-17,264.9,261.95743,2.942566,1.1108214,DOWN,DOWN,True
2024-12-18,260.2,260.44427,-0.2442627,-0.093874976,DOWN,DOWN,True
2024-12-19,254.0,256.41144,-2.411438,-0.94938505,DOWN,DOWN,True
2024-12-22,249.5,250.9949,-1.4949036,-0.5991598,DOWN,DOWN,True
2024-12-23,257.5,246.47964,11.020355,4.2797494,UP,DOWN,False
2024-12-24,263.3,252.96025,10.339737,3.9269798,UP,DOWN,False
2024-12-26,265.0,259.72174,5.2782593,1.9917959,UP,DOWN,False
2024-12-29,260.0,262.06677,-2.0667725,-0.7949125,DOWN,DOWN,True
2024-12-31,254.9,257.55643,-2.656433,-1.0421472,DOWN,DOWN,True
2025-01-01,257.6,251.83066,5.769348,2.2396536,UP,DOWN,False
2025-01-02,259.0,254.01874,4.981262,1.9232671,UP,DOWN,False
2025-01-05,259.0,256.32626,2.6737366,1.0323308,UP,DOWN,False
2025-01-06,273.0,257.20926,15.790741,5.7841544,UP,DOWN,False
2025-01-07,277.0,271.0526,5.9473877,2.1470714,UP,DOWN,False
2025-01-08,273.6,276.92902,-3.32901,-1.2167435,DOWN,DOWN,True
2025-01-09,272.0,274.6868,-2.686798,-0.9877934,DOWN,UP,False
2025-01-12,264.0,272.97827,-8.9782715,-3.4008603,DOWN,UP,False
2025-01-13,265.0,265.64276,-0.64276123,-0.24255142,UP,UP,True
2025-01-15,264.0,266.0517,-2.0516968,-0.77715784,DOWN,UP,False
2025-01-16,260.2,265.76724,-5.56723,-2.1395965,DOWN,UP,False
2025-01-19,261.0,261.96173,-0.96173096,-0.36847928,UP,UP,True
2025-01-20,265.0,261.91318,3.0868225,1.1648387,UP,UP,True
2025-01-21,265.0,264.89133,0.108673096,0.041008715,UP,DOWN,False
2025-01-22,276.0,265.4429,10.557098,3.8250356,UP,UP,True
2025-01-23,274.6,276.29437,-1.6943665,-0.61703074,DOWN,UP,False
2025-01-26,272.0,276.03958,-4.0395813,-1.4851402,DOWN,UP,False
2025-01-27,274.0,272.9458,1.0541992,0.38474423,UP,UP,True
2025-01-28,276.1,274.25934,1.8406677,0.66666704,UP,UP,True
2025-02-02,283.0,276.27078,6.7292175,2.3778152,UP,UP,True
2025-02-03,280.0,283.7554,-3.7554016,-1.3412149,DOWN,UP,False
2025-02-04,278.0,281.95578,-3.95578,-1.4229424,DOWN,UP,False
2025-02-05,278.0,279.3287,-1.3287048,-0.4779514,UP,UP,True
2025-02-06,276.9,278.75818,-1.8581848,-0.6710671,DOWN,UP,False
2025-02-09,282.1,277.4143,4.6856995,1.6610066,UP,UP,True
2025-02-10,278.0,282.78384,-4.783844,-1.7208072,DOWN,UP,False
