Date,Actual_Close,Predicted_Close,Error,Error_Pct,Abs_Error,Pct_Error,Within_Tolerance_Pct,Dir_Match,Hybrid_Correct,Actual_Direction,Predicted_Direction,Correct
2024-09-26,1050.0,838.74066,211.25934,20.119936,211.25934,20.119936,False,True,True,DOWN,DOWN,True
2024-09-29,1027.0,837.9152,189.08478,18.411371,189.08478,18.411371,False,True,True,DOWN,DOWN,True
2024-09-30,1090.0,837.2717,252.72827,23.18608,252.72827,23.18608,False,False,False,UP,DOWN,False
2024-10-01,1140.0,838.23346,301.76654,26.47075,301.76654,26.47075,False,False,False,UP,DOWN,False
2024-10-02,1102.0,839.18604,262.81396,23.848816,262.81396,23.848816,False,True,True,DOWN,DOWN,True
2024-10-06,1123.9,838.9386,284.96143,25.354694,284.96143,25.354694,False,False,False,UP,DOWN,False
2024-10-07,1168.0,839.47955,328.52045,28.126749,328.52045,28.126749,False,False,False,UP,DOWN,False
2024-10-08,1150.0,840.1255,309.8745,26.945608,309.8745,26.945608,False,True,True,DOWN,DOWN,True
2024-10-09,1136.0,840.129,295.87097,26.04498,295.87097,26.04498,False,True,True,DOWN,DOWN,True
2024-10-15,1160.0,840.27325,319.72675,27.56265,319.72675,27.56265,False,False,False,UP,DOWN,False
2024-10-16,1184.0269,840.64484,343.38202,29.001204,343.38202,29.001204,False,False,False,UP,DOWN,False
2024-10-17,1157.0,841.08185,315.91815,27.30494,315.91815,27.30494,False,True,True,DOWN,DOWN,True
2024-10-20,1131.0,840.9783,290.02173,25.642946,290.02173,25.642946,False,True,True,DOWN,DOWN,True
2024-10-21,1122.0,840.84644,281.15356,25.058249,281.15356,25.058249,False,True,True,DOWN,DOWN,True
2024-10-22,1123.0,840.9079,282.0921,25.11951,282.0921,25.11951,False,False,False,UP,DOWN,False
2024-10-23,1118.0,840.995,277.005,24.776834,277.005,24.776834,False,True,True,DOWN,DOWN,True
