Date,Actual_Close,Predicted_Close,Error,Error_Pct,Abs_Error,Pct_Error,Within_Tolerance_Pct,Dir_Match,Hybrid_Correct,Actual_Direction,Predicted_Direction,Correct
2025-03-16,590.0,598.6239,-8.623901,-1.4616781,8.623901,1.4616781,True,True,True,DOWN,DOWN,True
2025-03-17,593.0,589.05884,3.941162,0.6646142,3.941162,0.6646142,True,False,True,UP,DOWN,False
2025-03-18,586.0,585.1936,0.8063965,0.13761033,0.8063965,0.13761033,True,True,True,DOWN,DOWN,True
2025-03-19,579.9,579.68146,0.2185669,0.037690446,0.2185669,0.037690446,True,True,True,DOWN,DOWN,True
2025-03-20,569.17,573.5051,-4.335144,-0.7616607,4.335144,0.7616607,True,True,True,DOWN,DOWN,True
2025-03-23,541.18,565.3314,-24.151428,-4.462735,24.151428,4.462735,False,True,True,DOWN,DOWN,True
2025-03-24,559.62,547.88745,11.732544,2.0965197,11.732544,2.0965197,True,True,True,UP,UP,True
2025-03-25,536.15,549.5509,-13.400879,-2.4994643,13.400879,2.4994643,False,True,True,DOWN,DOWN,True
2025-03-26,549.04,538.21216,10.82782,1.9721369,10.82782,1.9721369,True,True,True,UP,UP,True
2025-03-27,557.19,540.21326,16.976746,3.0468502,16.976746,3.0468502,False,False,False,UP,DOWN,False
2025-03-30,567.22,545.2352,21.984741,3.875876,21.984741,3.875876,False,False,False,UP,DOWN,False
2025-04-01,558.76,551.99927,6.760742,1.2099545,6.760742,1.2099545,True,True,True,DOWN,DOWN,True
2025-04-02,574.55,552.33563,22.214355,3.866392,22.214355,3.866392,False,False,False,UP,DOWN,False
2025-04-03,567.59,561.73035,5.85968,1.032379,5.85968,1.032379,True,True,True,DOWN,DOWN,True
2025-04-07,556.95,563.68774,-6.737732,-1.2097552,6.737732,1.2097552,True,True,True,DOWN,DOWN,True
2025-04-08,555.84,560.84357,-5.00354,-0.9001763,5.00354,0.9001763,True,False,True,DOWN,UP,False
2025-04-09,560.64,560.5255,0.11450195,0.020423435,0.11450195,0.020423435,True,True,True,UP,UP,True
2025-04-10,560.33,563.69275,-3.362732,-0.60013413,3.362732,0.60013413,True,False,True,DOWN,UP,False
2025-04-13,545.54,567.24805,-21.708069,-3.9791894,21.708069,3.9791894,False,False,False,DOWN,UP,False
2025-04-15,559.93,561.1963,-1.2662964,-0.22615261,1.2662964,0.22615261,True,True,True,UP,UP,True
2025-04-16,558.3,568.3956,-10.095642,-1.8082827,10.095642,1.8082827,True,False,True,DOWN,UP,False
2025-04-17,557.93,571.2621,-13.332092,-2.3895636,13.332092,2.3895636,False,False,False,DOWN,UP,False
2025-04-20,546.21,573.2777,-27.067688,-4.955546,27.067688,4.955546,False,False,False,DOWN,UP,False
2025-04-21,542.68,567.4972,-24.8172,-4.573082,24.8172,4.573082,False,False,False,DOWN,UP,False
2025-04-22,530.87,562.32495,-31.454956,-5.925171,31.454956,5.925171,False,False,False,DOWN,UP,False
2025-04-23,513.02,553.22107,-40.20105,-7.8361564,40.20105,7.8361564,False,False,False,DOWN,UP,False
2025-04-24,507.78,538.6587,-30.878693,-6.081116,30.878693,6.081116,False,False,False,DOWN,UP,False
2025-04-27,502.57,528.2723,-25.70227,-5.114167,25.70227,5.114167,False,False,False,DOWN,UP,False
2025-04-28,502.74,519.22327,-16.483276,-3.278688,16.483276,3.278688,False,True,True,UP,UP,True
2025-04-29,493.03,513.7736,-20.743622,-4.207375,20.743622,4.207375,False,False,False,DOWN,UP,False
2025-04-30,486.05,504.68353,-18.633545,-3.8336682,18.633545,3.8336682,False,False,False,DOWN,UP,False
2025-05-04,479.48,495.81802,-16.338013,-3.407444,16.338013,3.407444,False,False,False,DOWN,UP,False
2025-05-05,471.99,487.61688,-15.626892,-3.3108525,15.626892,3.3108525,False,False,False,DOWN,UP,False
2025-05-06,467.55,479.28552,-11.735535,-2.5100064,11.735535,2.5100064,False,False,False,DOWN,UP,False
2025-05-07,502.25,472.42236,29.827637,5.9388027,29.827637,5.9388027,False,True,True,UP,UP,True
2025-05-08,514.3,488.90543,25.394562,4.9376945,25.394562,4.9376945,False,False,False,UP,DOWN,False
2025-05-11,496.26,501.27716,-5.017151,-1.0109924,5.017151,1.0109924,True,True,True,DOWN,DOWN,True
2025-05-13,486.56,496.07623,-9.516235,-1.9558195,9.516235,1.9558195,True,True,True,DOWN,DOWN,True
2025-05-14,488.78,489.76843,-0.98843384,-0.20222469,0.98843384,0.20222469,True,True,True,UP,UP,True
2025-05-15,486.64,489.79416,-3.1541443,-0.64814734,3.1541443,0.64814734,True,False,True,DOWN,UP,False
2025-05-18,479.31,491.68695,-12.376953,-2.582244,12.376953,2.582244,False,False,False,DOWN,UP,False
2025-05-19,486.78,490.30493,-3.5249329,-0.72413266,3.5249329,0.72413266,True,True,True,UP,UP,True
2025-05-20,496.44,495.70578,0.7342224,0.14789751,0.7342224,0.14789751,True,True,True,UP,UP,True
2025-05-21,497.0,504.8426,-7.8425903,-1.577986,7.8425903,1.577986,True,True,True,UP,UP,True
2025-05-22,495.3,511.27307,-15.9730835,-3.2249312,15.9730835,3.2249312,False,False,False,DOWN,UP,False
2025-05-25,489.44,514.47925,-25.039246,-5.1158967,25.039246,5.1158967,False,False,False,DOWN,UP,False
2025-05-26,487.66,513.3305,-25.670502,-5.264016,25.670502,5.264016,False,False,False,DOWN,UP,False
2025-05-27,485.33,512.5482,-27.218231,-5.6081905,27.218231,5.6081905,False,False,False,DOWN,UP,False
2025-05-28,485.09,511.0465,-25.956512,-5.3508654,25.956512,5.3508654,False,False,False,DOWN,UP,False
2025-06-02,488.65,509.7213,-21.07132,-4.31215,21.07132,4.31215,False,True,True,UP,UP,True
2025-06-03,484.09,511.1872,-27.097198,-5.5975537,27.097198,5.5975537,False,False,False,DOWN,UP,False
2025-06-04,478.45,508.41962,-29.969604,-6.2638946,29.969604,6.2638946,False,False,False,DOWN,UP,False
2025-06-05,473.96,503.42084,-29.460846,-6.2158933,29.460846,6.2158933,False,False,False,DOWN,UP,False
2025-06-08,470.26,497.94824,-27.688232,-5.887856,27.688232,5.887856,False,False,False,DOWN,UP,False
2025-06-09,474.52002,492.30078,-17.780762,-3.7471044,17.780762,3.7471044,False,True,True,UP,UP,True
2025-06-10,500.44,491.90973,8.530273,1.7045547,8.530273,1.7045547,True,True,True,UP,UP,True
2025-06-11,493.32,507.53275,-14.212738,-2.8810382,14.212738,2.8810382,False,False,False,DOWN,UP,False
2025-06-12,495.94,507.81802,-11.878021,-2.3950522,11.878021,2.3950522,False,True,True,UP,UP,True
2025-06-15,490.37,509.20618,-18.836182,-3.8412185,18.836182,3.8412185,False,False,False,DOWN,UP,False
2025-06-16,485.36,505.6328,-20.272827,-4.176864,20.272827,4.176864,False,False,False,DOWN,UP,False
2025-06-17,479.6,500.63184,-21.03183,-4.3852854,21.03183,4.3852854,False,False,False,DOWN,UP,False
2025-06-18,475.88,495.86627,-19.986267,-4.1998544,19.986267,4.1998544,False,False,False,DOWN,UP,False
2025-06-19,476.54,491.2978,-14.757782,-3.0968611,14.757782,3.0968611,False,True,True,UP,UP,True
2025-06-22,470.56,489.5326,-18.972595,-4.0319185,18.972595,4.0319185,False,False,False,DOWN,UP,False
2025-06-23,467.59,484.7468,-17.1568,-3.669197,17.1568,3.669197,False,False,False,DOWN,UP,False
2025-06-24,466.91,480.35834,-13.448334,-2.880284,13.448334,2.880284,False,False,False,DOWN,UP,False
2025-06-25,467.52,477.58167,-10.061676,-2.1521382,10.061676,2.1521382,True,True,True,UP,UP,True
2025-06-26,466.21,477.13843,-10.928436,-2.3441017,10.928436,2.3441017,False,False,False,DOWN,UP,False
2025-06-29,468.61,476.14905,-7.5390625,-1.6088139,7.5390625,1.6088139,True,True,True,UP,UP,True
2025-06-30,467.79,477.14386,-9.353851,-1.9995835,9.353851,1.9995835,True,False,True,DOWN,UP,False
2025-07-01,470.35,475.70892,-5.358917,-1.1393467,5.358917,1.1393467,True,True,True,UP,UP,True
2025-07-02,480.6,475.9705,4.6295166,0.9632785,4.6295166,0.9632785,True,True,True,UP,UP,True
2025-07-03,503.76,482.75092,21.009094,4.170457,21.009094,4.170457,False,True,True,UP,UP,True
2025-07-06,511.09,500.46136,10.628632,2.0796008,10.628632,2.0796008,True,False,True,UP,DOWN,False
2025-07-07,490.43,512.03235,-21.602356,-4.404779,21.602356,4.404779,False,False,False,DOWN,UP,False
2025-07-08,490.93,504.49963,-13.569641,-2.7640686,13.569641,2.7640686,False,True,True,UP,UP,True
2025-07-09,494.08,503.06036,-8.980377,-1.8175957,8.980377,1.8175957,True,True,True,UP,UP,True
2025-07-10,498.78,506.23236,-7.452362,-1.4941181,7.452362,1.4941181,True,True,True,UP,UP,True
2025-07-13,507.21,513.4103,-6.200287,-1.22243,6.200287,1.22243,True,True,True,UP,UP,True
2025-07-14,502.74,523.8984,-21.158386,-4.2086143,21.158386,4.2086143,False,False,False,DOWN,UP,False
2025-07-15,510.17,525.6703,-15.500275,-3.038257,15.500275,3.038257,False,True,True,UP,UP,True
2025-07-16,512.03,532.19446,-20.164429,-3.938134,20.164429,3.938134,False,True,True,UP,UP,True
2025-07-17,528.9,537.1664,-8.266357,-1.5629338,8.266357,1.5629338,True,True,True,UP,UP,True
2025-07-20,516.1,549.9907,-33.890747,-6.566702,33.890747,6.566702,False,False,False,DOWN,UP,False
2025-07-21,519.66,547.1684,-27.508423,-5.293543,27.508423,5.293543,False,True,True,UP,UP,True
2025-07-22,526.38,546.89636,-20.516357,-3.8976324,20.516357,3.8976324,False,True,True,UP,UP,True
2025-07-23,557.81,550.1367,7.673279,1.375608,7.673279,1.375608,True,True,True,UP,UP,True
