S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
730,"2,041.71","2,072.23","2,041.71","2,068.26",27.56,1.35,"2,057,980,056.54",2022-08-18
731,"2,043.62","2,052.90","2,035.52","2,040.70",-0.36,-0.02,"1,405,974,256.29",2022-08-17
732,"2,069.38","2,088.22","2,035.55","2,041.06",-24.83,-1.20,"2,734,853,057.65",2022-08-16
733,"2,007.19","2,065.89","2,004.29","2,065.89",55.88,2.78,"2,432,984,611.90",2022-08-15
734,"2,035.32","2,042.87","2,007.73","2,010.01",-27.92,-1.37,"1,873,281,897.06",2022-08-14
735,"2,059.83","2,074.70","2,037.93","2,037.92",-18.96,-0.92,"1,761,023,038.83",2022-08-11
736,"2,064.39","2,074.93","2,042.95","2,056.88",-5.91,-0.29,"1,935,520,146.52",2022-08-10
737,"2,109.79","2,112.13","2,060.92","2,062.80",-43.35,-2.06,"2,815,144,598.31",2022-08-09
738,"2,128.19","2,140.09","2,102.34","2,106.15",-17.68,-0.83,"2,857,072,961.40",2022-08-08
739,"2,109.41","2,132.49","2,108.65","2,123.82",10.27,0.49,"2,673,338,232.35",2022-08-07
740,"2,150.47","2,150.47","2,109.01","2,113.55",-34.61,-1.61,"2,626,154,947.80",2022-08-05
741,"2,191.49","2,192.66","2,148.16","2,148.16",-38.61,-1.77,"3,768,079,173.00",2022-08-04
742,"2,196.13","2,213.70","2,183.80","2,186.77",-6.71,-0.31,"4,029,931,439.75",2022-08-03
743,"2,198.06","2,202.72","2,170.32","2,193.48",-2.76,-0.13,"3,293,234,705.72",2022-08-02
744,"2,205.77","2,223.99","2,183.55","2,196.25",1.15,0.05,"4,670,798,756.39",2022-08-01
745,"2,142.31","2,195.10","2,142.31","2,195.10",54.58,2.55,"4,609,971,271.65",2022-07-31
746,"2,130.32","2,147.31","2,117.53","2,140.52",13.05,0.61,"2,191,619,914.28",2022-07-29
747,"2,113.35","2,156.10","2,106.16","2,127.47",15.49,0.73,"4,976,433,105.02",2022-07-28
748,"2,089.01","2,111.99","2,066.08","2,111.99",23.83,1.14,"3,161,455,141.99",2022-07-27
749,"2,134.14","2,141.35","2,085.93","2,088.16",-44.80,-2.10,"3,704,998,398.24",2022-07-26
750,"2,081.98","2,134.62","2,081.98","2,132.96",54.45,2.62,"4,106,818,941.36",2022-07-25
751,"2,027.80","2,078.51","2,027.80","2,078.51",61.05,3.03,"2,730,937,196.52",2022-07-24
752,"2,046.62","2,046.62","2,013.75","2,017.46",-27.26,-1.33,"1,443,432,770.47",2022-07-22
753,"2,052.95","2,065.86","2,038.58","2,044.72",-5.87,-0.29,"1,642,648,586.50",2022-07-21
754,"2,046.21","2,061.31","2,033.46","2,050.59",4.89,0.24,"1,731,832,270.04",2022-07-20
755,"2,029.71","2,062.07","2,029.29","2,045.70",16.27,0.80,"2,299,316,326.28",2022-07-19
756,"2,011.71","2,029.43","2,000.19","2,029.43",18.03,0.90,"1,312,962,959.61",2022-07-18
757,"2,010.92","2,018.85","1,994.75","2,011.40",1.94,0.10,"1,232,488,082.72",2022-07-17
758,"2,002.96","2,009.47","1,989.42","2,009.46",7.93,0.40,"1,456,259,832.87",2022-07-15
759,"1,987.32","2,011.72","1,977.26","2,001.53",14.71,0.74,"2,411,834,599.35",2022-07-14
760,"1,928.50","1,986.83","1,928.50","1,986.82",59.54,3.09,"2,044,443,007.47",2022-07-13
761,"1,916.41","1,947.53","1,908.89","1,927.28",11.68,0.61,"1,707,752,977.82",2022-07-12
762,"1,993.33","1,993.55","1,913.19","1,915.61",-77.01,-3.86,"2,325,641,022.25",2022-07-11
763,"2,031.87","2,033.06","1,988.96","1,992.62",-34.70,-1.71,"1,168,451,395.02",2022-07-08
764,"2,051.50","2,079.30","2,023.13","2,027.32",-16.60,-0.81,"1,806,204,764.98",2022-07-07
765,"2,036.46","2,046.92","1,995.18","2,043.92",13.33,0.66,"2,178,655,700.71",2022-07-06
766,"2,078.63","2,091.29","2,026.37","2,030.59",-46.08,-2.22,"2,968,485,223.95",2022-07-05
767,"2,095.62","2,148.16","2,059.25","2,076.67",-9.75,-0.47,"4,349,273,593.20",2022-07-04
768,"2,028.79","2,086.42","2,021.00","2,086.42",57.65,2.84,"2,480,473,998.90",2022-07-03
769,"2,041.94","2,053.39","2,016.75","2,028.77",-8.87,-0.44,"1,459,312,015.14",2022-07-01
770,"1,966.86","2,037.64","1,966.86","2,037.64",74.93,3.82,"2,458,619,494.89",2022-06-30
771,"1,925.74","1,963.48","1,915.44","1,962.71",41.39,2.15,"1,431,400,640.64",2022-06-29
772,"1,935.54","1,935.54","1,909.29","1,921.31",-11.82,-0.61,"1,058,263,522.26",2022-06-28
773,"1,967.30","1,985.91","1,931.64","1,933.13",-23.85,-1.22,"2,044,831,947.70",2022-06-27
774,"1,863.47","1,956.99","1,863.47","1,956.98",94.92,5.10,"2,196,141,848.83",2022-06-26
775,"1,848.38","1,878.97","1,807.18","1,862.06",13.78,0.75,"1,151,208,031.19",2022-06-24
776,"1,889.40","1,889.40","1,836.00","1,848.28",-45.25,-2.39,"1,499,709,634.92",2022-06-23
777,"1,925.46","1,926.07","1,890.07","1,893.53",-31.21,-1.62,"843,773,459.02",2022-06-22
778,"1,884.25","1,931.89","1,878.39","1,924.74",39.93,2.12,"1,253,757,714.92",2022-06-21
779,"1,934.03","1,934.08","1,880.01","1,884.81",-49.31,-2.55,"1,750,600,171.41",2022-06-20
780,"1,971.84","1,973.79","1,929.24","1,934.11",-37.27,-1.89,"1,134,091,212.35",2022-06-19
781,"1,981.21","1,990.88","1,967.23","1,971.38",-7.56,-0.38,"736,312,157.98",2022-06-17
782,"1,966.89","1,993.40","1,950.93","1,978.94",12.57,0.64,"1,187,145,518.65",2022-06-16
783,"1,999.05","1,999.05","1,946.47","1,966.37",-29.89,-1.50,"1,491,758,817.38",2022-06-15
784,"2,032.53","2,034.34","1,990.51","1,996.26",-36.07,-1.78,"1,185,546,179.44",2022-06-14
785,"2,049.31","2,052.29","2,027.22","2,032.34",-15.82,-0.77,"998,674,262.44",2022-06-13
786,"2,067.76","2,069.37","2,036.61","2,048.16",-14.64,-0.71,"894,124,114.10",2022-06-10
787,"2,082.45","2,115.59","2,058.52","2,062.81",-17.64,-0.85,"1,472,690,554.24",2022-06-09
788,"2,019.54","2,096.14","2,017.47","2,080.45",60.22,2.98,"1,640,356,608.04",2022-06-08
789,"2,065.19","2,065.19","2,016.81","2,020.23",-45.59,-2.21,"1,312,806,562.64",2022-06-07
790,"2,079.60","2,093.08","2,054.29","2,065.82",-12.89,-0.62,"1,273,385,276.82",2022-06-06
791,"2,113.13","2,117.03","2,072.08","2,078.71",-33.76,-1.60,"1,307,359,540.80",2022-06-03
792,"2,130.35","2,142.46","2,107.97","2,112.47",-18.26,-0.86,"1,161,514,168.66",2022-06-02
793,"2,138.06","2,154.03","2,119.53","2,130.73",-7.19,-0.34,"1,078,484,181.94",2022-06-01
794,"2,172.02","2,172.02","2,126.81","2,137.92",-35.53,-1.63,"1,317,699,089.62",2022-05-31
795,"2,227.43","2,232.23","2,175.91","2,173.44",-50.33,-2.26,"1,338,856,282.36",2022-05-30
796,"2,242.46","2,250.37","2,214.94","2,223.78",-15.82,-0.71,"1,298,905,589.57",2022-05-27
797,"2,240.61","2,245.18","2,222.90","2,239.60",8.03,0.36,"889,834,908.59",2022-05-26
798,"2,222.49","2,243.21","2,222.24","2,231.57",14.37,0.65,"1,044,626,939.45",2022-05-25
799,"2,203.14","2,227.36","2,190.69","2,217.19",16.32,0.74,"1,088,833,541.72",2022-05-24
800,"2,241.26","2,248.91","2,191.60","2,200.88",-34.21,-1.53,"1,369,513,191.50",2022-05-23
801,"2,251.49","2,258.26","2,231.46","2,235.09",-15.82,-0.70,"932,206,084.33",2022-05-20
802,"2,274.80","2,282.81","2,247.82","2,250.91",-23.51,-1.03,"1,300,981,996.43",2022-05-19
803,"2,262.99","2,281.82","2,238.04","2,274.42",8.90,0.39,"1,326,320,346.01",2022-05-18
804,"2,350.43","2,350.43","2,264.87","2,265.52",-84.90,-3.61,"1,644,096,192.85",2022-05-17
805,"2,373.38","2,388.49","2,343.95","2,350.42",-18.64,-0.79,"2,328,434,272.92",2022-05-12
806,"2,313.28","2,369.07","2,313.28","2,369.06",56.06,2.42,"2,163,990,743.33",2022-05-11
807,"2,269.36","2,313.00","2,269.20","2,313.00",44.16,1.95,"1,356,687,468.49",2022-05-10
808,"2,263.06","2,289.27","2,255.73","2,268.85",12.27,0.54,"1,390,607,701.93",2022-05-09
809,"2,238.81","2,256.58","2,204.47","2,256.58",17.95,0.80,"1,326,421,671.70",2022-05-08
810,"2,275.43","2,275.43","2,226.61","2,238.62",-37.06,-1.63,"1,654,561,472.53",2022-05-05
811,"2,310.51","2,312.07","2,269.87","2,275.69",-31.76,-1.38,"1,269,219,421.49",2022-05-04
812,"2,358.24","2,359.27","2,303.70","2,307.44",-48.73,-2.07,"1,423,498,292.37",2022-05-02
813,"2,380.16","2,390.11","2,351.57","2,356.17",-20.00,-0.84,"1,496,246,808.20",2022-04-28
814,"2,373.10","2,376.20","2,348.76","2,376.17",5.17,0.22,"1,089,992,035.93",2022-04-27
815,"2,386.04","2,401.57","2,358.82","2,370.99",-15.02,-0.63,"1,046,014,417.20",2022-04-26
816,"2,423.74","2,443.95","2,382.37","2,386.02",-34.95,-1.44,"2,042,253,182.30",2022-04-25
817,"2,331.51","2,430.07","2,331.51","2,420.97",95.52,4.11,"2,531,275,592.84",2022-04-24
818,"2,327.08","2,333.18","2,287.00","2,325.45",4.94,0.21,"1,629,168,847.89",2022-04-21
819,"2,364.47","2,367.03","2,317.01","2,320.52",-36.73,-1.56,"1,458,737,755.45",2022-04-20
820,"2,347.21","2,372.21","2,314.80","2,357.25",13.37,0.57,"1,326,865,931.83",2022-04-19
821,"2,386.66","2,387.12","2,342.04","2,343.87",-41.78,-1.75,"1,530,692,955.67",2022-04-18
822,"2,422.34","2,437.42","2,380.16","2,385.65",-29.60,-1.23,"1,440,723,182.32",2022-04-17
823,"2,385.24","2,415.25","2,367.02","2,415.25",30.24,1.27,"1,476,318,104.44",2022-04-13
824,"2,424.71","2,428.57","2,379.57","2,385.01",-34.79,-1.44,"1,524,364,418.10",2022-04-12
825,"2,471.81","2,508.88","2,416.22","2,419.80",-44.56,-1.81,"2,260,786,628.14",2022-04-11
826,"2,427.97","2,475.78","2,427.97","2,464.36",35.69,1.47,"2,121,511,279.53",2022-04-07
827,"2,451.81","2,457.61","2,417.08","2,428.66",-23.41,-0.95,"1,995,964,384.22",2022-04-06
828,"2,507.77","2,507.77","2,434.56","2,452.07",-46.46,-1.86,"2,671,232,388.39",2022-04-05
829,"2,517.41","2,525.24","2,497.48","2,498.53",-14.88,-0.59,"1,584,671,562.02",2022-04-04
830,"2,544.48","2,546.65","2,510.69","2,513.42",-30.89,-1.21,"1,460,773,729.18",2022-04-03
831,"2,568.76","2,584.22","2,538.78","2,544.31",-23.95,-0.93,"1,890,164,686.39",2022-03-31
832,"2,527.77","2,568.26","2,516.12","2,568.26",40.68,1.61,"2,250,117,296.35",2022-03-30
833,"2,542.65","2,561.98","2,520.19","2,527.58",-14.26,-0.56,"1,750,628,199.30",2022-03-29
834,"2,574.12","2,580.26","2,538.22","2,541.84",-30.43,-1.18,"2,545,321,813.93",2022-03-28
835,"2,623.20","2,641.51","2,569.02","2,572.26",-41.41,-1.58,"4,989,514,415.77",2022-03-27
836,"2,630.93","2,638.62","2,611.96","2,613.67",-16.69,-0.63,"3,248,943,824.64",2022-03-24
837,"2,651.41","2,653.24","2,623.08","2,630.36",-20.34,-0.77,"2,046,352,547.24",2022-03-23
838,"2,634.42","2,658.06","2,634.42","2,650.70",16.04,0.61,"2,518,894,178.29",2022-03-22
839,"2,620.13","2,634.66","2,601.36","2,634.66",18.07,0.69,"2,592,718,131.44",2022-03-21
840,"2,634.11","2,643.81","2,607.98","2,616.59",-14.67,-0.56,"2,274,626,190.52",2022-03-20
841,"2,653.57","2,660.64","2,626.02","2,631.25",-19.72,-0.74,"2,570,401,188.08",2022-03-16
842,"2,673.55","2,675.83","2,637.23","2,650.97",-17.15,-0.64,"3,364,229,175.35",2022-03-15
843,"2,677.97","2,682.57","2,650.42","2,668.11",0.15,0.01,"1,342,232,838.50",2022-03-14
844,"2,575.27","2,667.97","2,575.27","2,667.97",101.07,3.94,"4,870,715,387.13",2022-03-13
845,"2,512.04","2,566.90","2,499.03","2,566.90",52.31,2.08,"2,791,872,969.76",2022-03-10
846,"2,542.42","2,557.08","2,504.48","2,514.58",-30.36,-1.19,"2,352,317,142.03",2022-03-09
847,"2,542.66","2,566.29","2,538.44","2,544.94",1.55,0.06,"2,600,930,402.61",2022-03-07
848,"2,542.57","2,568.11","2,528.15","2,543.39",-3.66,-0.14,"2,493,241,272.52",2022-03-06
849,"2,612.51","2,612.51","2,542.77","2,547.04",-63.54,-2.43,"3,621,143,979.32",2022-03-02
850,"2,662.26","2,683.47","2,607.00","2,610.58",-43.12,-1.62,"3,660,189,867.56",2022-02-28
851,"2,660.39","2,680.39","2,638.64","2,653.70",-7.73,-0.29,"3,273,065,909.76",2022-02-27
852,"2,715.44","2,715.44","2,654.98","2,661.44",-58.99,-2.17,"4,293,864,191.66",2022-02-24
853,"2,732.48","2,747.18","2,716.44","2,720.43",-15.50,-0.57,"3,131,210,281.88",2022-02-23
854,"2,719.89","2,750.09","2,719.89","2,735.93",17.42,0.64,"3,212,887,822.11",2022-02-22
855,"2,695.26","2,718.81","2,694.16","2,718.51",25.41,0.94,"2,997,681,072.21",2022-02-21
856,"2,713.52","2,715.83","2,670.39","2,693.10",-39.40,-1.44,"4,086,474,828.31",2022-02-20
857,"2,735.33","2,745.21","2,723.77","2,732.51",-1.94,-0.07,"2,278,173,660.05",2022-02-17
858,"2,759.37","2,771.69","2,725.34","2,734.44",-19.84,-0.72,"3,026,330,784.14",2022-02-16
859,"2,703.35","2,754.29","2,703.35","2,754.29",53.30,1.97,"3,233,318,614.47",2022-02-15
860,"2,697.37","2,728.13","2,695.12","2,700.98",0.08,0.00,"3,684,009,915.07",2022-02-14
861,"2,783.89","2,783.89","2,697.78","2,700.89",-100.67,-3.59,"5,977,214,730.64",2022-02-13
862,"2,813.33","2,825.33","2,791.10","2,801.56",-11.96,-0.43,"3,829,533,350.00",2022-02-10
863,"2,837.33","2,837.33","2,800.08","2,813.52",-22.06,-0.78,"3,471,109,182.00",2022-02-09
864,"2,877.58","2,921.18","2,826.35","2,835.58",-16.30,-0.57,"6,287,217,985.00",2022-02-08
865,"2,834.26","2,853.78","2,822.88","2,851.88",15.71,0.55,"5,022,017,181.00",2022-02-07
866,"2,877.04","2,877.04","2,829.17","2,836.17",-40.57,-1.41,"5,836,414,510.47",2022-02-06
867,"2,898.61","2,925.05","2,871.82","2,876.74",-14.60,-0.50,"8,612,174,162.00",2022-02-03
868,"2,875.74","2,896.47","2,856.68","2,891.33",19.29,0.67,"6,574,842,418.00",2022-02-01
869,"2,895.77","2,907.61","2,860.92","2,872.05",-13.48,-0.47,"5,154,177,598.00",2022-01-31
870,"2,805.01","2,885.53","2,805.01","2,885.53",105.55,3.80,"6,324,274,039.00",2022-01-30
871,"2,778.89","2,803.75","2,776.88","2,779.98",3.33,0.12,"3,343,413,684.00",2022-01-27
872,"2,817.17","2,819.74","2,761.28","2,776.65",-38.42,-1.36,"4,313,154,042.17",2022-01-26
873,"2,827.75","2,857.61","2,781.48","2,815.06",-5.59,-0.20,"5,395,672,627.02",2022-01-25
874,"2,926.12","2,926.12","2,804.07","2,820.65",-99.86,-3.42,"8,888,513,178.00",2022-01-24
875,"2,942.97","2,961.93","2,906.28","2,920.51",-10.83,-0.37,"7,030,508,263.00",2022-01-23
876,"2,901.51","2,931.34","2,884.91","2,931.34",33.03,1.14,"5,773,120,409.17",2022-01-20
877,"2,945.63","2,950.14","2,890.00","2,898.31",-38.35,-1.31,"6,021,311,881.03",2022-01-19
878,"2,953.11","2,981.35","2,916.06","2,936.66",-10.78,-0.37,"8,443,419,561.86",2022-01-18
879,"2,944.92","2,955.60","2,907.95","2,947.43",20.69,0.71,"7,901,890,668.00",2022-01-17
880,"2,873.42","2,940.13","2,873.42","2,926.74",69.00,2.41,"9,676,317,059.00",2022-01-16
881,"2,808.80","2,857.75","2,802.80","2,857.75",54.12,1.93,"6,669,748,567.76",2022-01-13
882,"2,839.87","2,874.80","2,796.66","2,803.62",-30.51,-1.08,"8,033,212,742.00",2022-01-12
883,"2,792.63","2,847.38","2,771.64","2,834.13",49.19,1.77,"6,724,526,197.50",2022-01-11
884,"2,772.09","2,804.84","2,756.03","2,784.95",19.43,0.70,"7,123,424,035.00",2022-01-10
885,"2,699.87","2,770.06","2,699.87","2,765.51",73.05,2.71,"7,101,831,591.11",2022-01-09
886,"2,647.76","2,692.47","2,633.91","2,692.47",43.29,1.63,"3,676,846,349.00",2022-01-06
887,"2,687.75","2,699.94","2,641.61","2,649.18",-30.77,-1.15,"4,621,598,583.00",2022-01-05
888,"2,619.22","2,679.95","2,594.22","2,679.95",63.01,2.41,"4,320,269,828.00",2022-01-04
889,"2,595.22","2,634.54","2,594.04","2,616.94",32.03,1.24,"4,533,017,178.57",2022-01-03
890,"2,538.25","2,584.91","2,529.88","2,584.91",60.41,2.39,"4,126,980,067.52",2022-01-02
891,"2,520.55","2,538.65","2,513.14","2,524.50",5.51,0.22,"3,623,480,292.00",2021-12-29
892,"2,523.87","2,533.26","2,487.41","2,518.99",-2.66,-0.11,"3,125,575,632.00",2021-12-28
893,"2,600.21","2,615.47","2,518.80","2,521.65",-69.77,-2.69,"5,607,439,671.00",2021-12-27
894,"2,531.43","2,595.71","2,531.43","2,591.42",71.20,2.82,"5,173,200,503.00",2021-12-26
895,"2,522.51","2,542.11","2,485.55","2,520.23",12.53,0.50,"4,490,266,410.00",2021-12-23
896,"2,425.05","2,508.46","2,425.05","2,507.70",92.16,3.82,"4,523,338,143.00",2021-12-22
897,"2,360.33","2,415.55","2,360.33","2,415.55",56.73,2.41,"2,383,259,847.00",2021-12-21
898,"2,390.81","2,390.81","2,346.96","2,358.81",-17.93,-0.75,"2,464,689,863.00",2021-12-20
899,"2,415.77","2,417.21","2,372.87","2,376.74",-37.87,-1.57,"2,301,751,968.00",2021-12-16
900,"2,433.20","2,490.62","2,379.30","2,414.62",-4.23,-0.17,"4,588,390,678.00",2021-12-15
901,"2,283.67","2,418.85","2,283.67","2,418.85",137.18,6.01,"1,842,647,144.00",2021-12-14
902,"2,351.93","2,351.93","2,259.63","2,281.67",-79.57,-3.37,"3,995,604,178.00",2021-12-13
903,"2,448.66","2,455.56","2,360.67","2,361.27",-88.70,-3.62,"3,382,509,520.00",2021-12-12
904,"2,454.41","2,464.70","2,428.84","2,449.97",-5.84,-0.24,"2,673,308,792.00",2021-12-09
905,"2,508.28","2,511.60","2,448.91","2,455.80",-53.10,-2.12,"2,663,909,620.00",2021-12-08
906,"2,549.36","2,590.39","2,506.61","2,508.90",-37.18,-1.46,"3,128,341,700.27",2021-12-07
907,"2,508.96","2,548.98","2,440.24","2,546.08",32.22,1.28,"4,542,345,271.00",2021-12-06
908,"2,586.82","2,586.95","2,505.13","2,513.87",-72.32,-2.80,"4,090,765,325.00",2021-12-05
909,"2,633.63","2,641.96","2,580.68","2,586.19",-47.47,-1.80,"3,413,589,126.00",2021-12-02
910,"2,628.68","2,649.80","2,628.68","2,633.65",5.28,0.20,"2,742,085,704.00",2021-12-01
911,"2,630.32","2,647.85","2,604.43","2,628.37",-1.60,-0.06,"3,089,041,991.00",2021-11-30
912,"2,650.54","2,677.63","2,622.32","2,629.97",-21.51,-0.81,"4,008,937,133.00",2021-11-29
913,"2,730.75","2,730.75","2,644.91","2,651.49",-80.29,-2.94,"5,835,135,055.00",2021-11-28
914,"2,736.84","2,746.06","2,721.38","2,731.78",-3.22,-0.12,"3,789,709,331.00",2021-11-25
915,"2,737.09","2,742.35","2,694.62","2,735.00",1.89,0.07,"4,217,415,337.00",2021-11-24
916,"2,765.67","2,765.67","2,720.03","2,733.12",-32.31,-1.17,"4,165,896,578.00",2021-11-23
917,"2,758.99","2,777.86","2,758.98","2,765.43",7.90,0.29,"3,929,261,627.00",2021-11-22
918,"2,771.75","2,779.84","2,750.01","2,757.53",-11.60,-0.42,"4,357,309,319.00",2021-11-21
919,"2,806.13","2,808.72","2,760.79","2,769.13",-32.39,-1.16,"6,271,867,230.00",2021-11-18
920,"2,795.19","2,825.89","2,795.19","2,801.52",16.95,0.61,"7,379,446,820.00",2021-11-17
921,"2,720.59","2,784.58","2,717.92","2,784.58",69.22,2.55,"5,521,650,856.75",2021-11-16
922,"2,688.06","2,728.32","2,685.81","2,715.35",26.44,0.98,"4,734,651,444.00",2021-11-15
923,"2,694.05","2,704.47","2,668.82","2,688.92",-1.38,-0.05,"4,096,219,525.40",2021-11-14
924,"2,750.03","2,750.03","2,687.83","2,690.29",-59.57,-2.17,"5,119,602,540.00",2021-11-11
925,"2,831.00","2,831.81","2,730.44","2,749.85",-79.79,-2.82,"6,527,729,547.00",2021-11-09
926,"2,854.38","2,862.96","2,821.73","2,829.64",-19.20,-0.67,"4,420,719,103.00",2021-11-08
927,"2,858.74","2,877.81","2,837.81","2,848.84",5.22,0.18,"6,553,059,152.00",2021-11-03
928,"2,824.83","2,845.06","2,789.59","2,843.62",23.76,0.84,"6,073,716,888.00",2021-11-02
929,"2,852.32","2,865.81","2,804.84","2,819.86",-17.75,-0.63,"7,777,510,778.00",2021-11-01
930,"2,785.95","2,837.74","2,776.05","2,837.61",55.50,1.99,"7,823,226,493.00",2021-10-31
931,"2,768.88","2,783.67","2,747.59","2,782.16",13.04,0.47,"5,395,268,628.00",2021-10-28
932,"2,753.40","2,806.65","2,717.57","2,769.13",18.06,0.66,"6,612,648,840.00",2021-10-27
933,"2,678.86","2,751.09","2,678.86","2,751.07",78.82,2.95,"6,318,340,932.00",2021-10-26
934,"2,588.75","2,672.25","2,588.75","2,672.25",87.63,3.39,"4,308,895,575.00",2021-10-25
935,"2,557.00","2,587.36","2,546.39","2,584.52",27.51,1.08,"2,773,420,135.00",2021-10-24
936,"2,573.05","2,585.21","2,543.11","2,556.95",-14.70,-0.57,"2,635,390,460.00",2021-10-21
937,"2,522.20","2,589.46","2,522.20","2,571.66",60.56,2.41,"2,679,028,155.00",2021-10-20
938,"2,588.24","2,588.24","2,482.14","2,510.73",-77.33,-2.99,"3,783,422,995.00",2021-10-19
939,"2,656.04","2,656.04","2,582.71","2,587.45",-69.51,-2.62,"2,966,899,791.00",2021-10-18
940,"2,644.41","2,665.42","2,625.13","2,656.96",17.59,0.67,"1,497,375,371.00",2021-10-17
941,"2,667.59","2,669.51","2,616.75","2,639.37",-23.19,-0.87,"3,639,468,093.00",2021-10-11
942,"2,687.19","2,718.53","2,654.75","2,662.58",-18.53,-0.69,"4,498,043,581.00",2021-10-10
943,"2,614.74","2,681.10","2,614.74","2,681.10",68.47,2.62,"4,500,658,142.00",2021-10-06
944,"2,569.79","2,619.85","2,569.79","2,612.65",41.84,1.63,"2,996,819,683.00",2021-10-05
945,"2,577.36","2,596.31","2,542.11","2,570.81",-6.68,-0.26,"3,627,799,935.00",2021-10-04
946,"2,637.36","2,640.41","2,573.31","2,577.49",-55.93,-2.12,"4,113,814,246.00",2021-10-03
947,"2,667.45","2,687.02","2,630.58","2,633.42",-32.51,-1.22,"3,700,029,507.00",2021-09-30
948,"2,616.78","2,665.93","2,579.82","2,665.93",50.58,1.93,"5,028,555,092.00",2021-09-29
949,"2,683.60","2,694.97","2,602.38","2,615.40",-70.01,-2.61,"5,745,488,179.00",2021-09-28
950,"2,762.60","2,769.10","2,678.36","2,685.41",-73.05,-2.65,"5,120,973,096.00",2021-09-27
951,"2,836.36","2,844.09","2,756.51","2,758.48",-61.27,-2.17,"6,500,117,780.00",2021-09-26
952,"2,833.52","2,882.32","2,804.53","2,819.65",2.70,0.10,"7,726,371,029.00",2021-09-23
953,"2,719.91","2,818.86","2,719.91","2,816.95",104.88,3.87,"6,179,300,158.00",2021-09-22
954,"2,693.42","2,766.41","2,615.49","2,712.07",13.83,0.51,"7,364,798,652.00",2021-09-21
955,"2,817.98","2,818.49","2,698.24","2,698.24",-114.02,-4.05,"8,493,401,009.00",2021-09-20
956,"2,889.21","2,889.21","2,795.51","2,812.38",-76.65,-2.65,"9,033,900,623.00",2021-09-16
957,"2,933.23","2,936.77","2,882.10","2,889.03",-40.26,-1.37,"5,358,097,251.00",2021-09-15
958,"2,950.37","2,963.65","2,916.77","2,929.28",-18.54,-0.63,"5,195,295,443.00",2021-09-14
959,"2,962.81","2,984.28","2,939.96","2,947.69",0.27,0.01,"9,290,554,155.00",2021-09-13
960,"2,887.50","2,947.42","2,887.50","2,947.42",71.43,2.48,"9,440,035,244.00",2021-09-12
961,"2,880.54","2,911.82","2,866.05","2,875.97",-0.62,-0.02,"7,050,770,070.00",2021-09-09
962,"2,940.91","2,940.91","2,874.07","2,876.59",-60.02,-2.04,"6,646,623,427.00",2021-09-08
963,"2,999.62","3,001.10","2,913.01","2,936.60",-44.18,-1.48,"7,495,812,161.00",2021-09-07
964,"2,816.93","2,980.79","2,805.00","2,980.78",161.94,5.74,"9,826,222,807.00",2021-09-06
965,"2,928.80","2,928.80","2,779.33","2,818.72",-108.26,-3.70,"11,240,391,045.00",2021-09-05
966,"2,976.17","2,993.40","2,916.26","2,926.89",-50.13,-1.68,"9,505,970,822.00",2021-09-02
967,"2,977.28","3,018.64","2,961.12","2,977.02",1.18,0.04,"9,351,799,655.00",2021-09-01
968,"3,047.26","3,047.26","2,970.51","2,975.84",-69.05,-2.27,"13,259,696,107.00",2021-08-31
969,"3,105.74","3,115.80","3,039.03","3,044.86",-49.18,-1.59,"15,651,244,505.00",2021-08-29
970,"3,085.04","3,107.57","3,069.88","3,094.05",17.60,0.57,"13,421,974,792.00",2021-08-26
971,"3,126.02","3,126.02","3,068.90","3,076.45",-48.42,-1.55,"12,092,103,504.00",2021-08-25
972,"3,186.47","3,186.47","3,122.31","3,124.87",-56.03,-1.76,"16,124,468,060.00",2021-08-24
973,"3,208.53","3,226.89","3,178.58","3,180.78",-18.24,-0.57,"20,499,210,767.00",2021-08-19
974,"3,172.29","3,220.33","3,154.10","3,198.60",38.28,1.21,"21,313,489,269.00",2021-08-18
975,"3,165.69","3,176.31","3,154.98","3,160.31",0.23,0.01,"18,204,939,237.00",2021-08-17
976,"3,165.09","3,169.18","3,138.10","3,160.05",5.72,0.18,"15,930,897,938.00",2021-08-16
977,"3,170.65","3,187.14","3,105.32","3,154.03",-24.88,-0.78,"21,647,600,655.00",2021-08-15
978,"3,172.75","3,188.93","3,167.79","3,179.00",16.41,0.52,"17,513,276,115.00",2021-08-12
979,"3,172.54","3,197.00","3,158.73","3,162.59",0.94,0.03,"15,455,941,754.00",2021-08-11
980,"3,120.29","3,164.34","3,114.77","3,161.44",51.86,1.67,"17,846,147,279.00",2021-08-10
981,"3,113.95","3,121.72","3,098.90","3,109.66",1.54,0.05,"14,137,338,881.00",2021-08-09
982,"3,117.02","3,121.14","3,099.18","3,108.12",0.66,0.02,"14,308,136,887.00",2021-08-08
983,"3,130.54","3,136.79","3,102.08","3,107.45",-16.00,-0.51,"14,316,249,965.00",2021-08-05
984,"3,126.99","3,140.38","3,121.13","3,123.24",12.15,0.39,"15,595,794,271.00",2021-08-04
985,"3,094.24","3,111.09","3,092.61","3,111.09",26.02,0.84,"11,529,217,775.00",2021-08-03
986,"3,087.91","3,100.80","3,079.48","3,085.07",4.06,0.13,"10,983,599,094.00",2021-08-02
987,"3,088.44","3,097.67","3,075.90","3,081.05",1.25,0.04,"12,103,871,862.00",2021-08-01
